,카테고리,위도,경도
469,보안등,37.562404163400004,126.8101203204
470,보안등,37.562280284699995,126.8100693627
471,보안등,37.5620278499,126.8099723265
472,보안등,37.561729822800004,126.80981824950001
473,보안등,37.5609355884,126.80880978389999
474,보안등,37.5610443308,126.8088606641
475,보안등,37.5611530046,126.8089804724
476,보안등,37.5608305325,126.80947872770001
477,보안등,37.560397633,126.8097760239
478,보안등,37.560363036999995,126.809498027
479,보안등,37.5602959496,126.8093533267
480,보안등,37.560247029,126.8090767252
481,보안등,37.5603633198,126.8089481948
482,보안등,37.5602436505,126.8092161721
483,보안등,37.5604918899,126.8091698141
484,보안등,37.5604457383,126.80932431030001
485,보안등,37.5606371564,126.80879605930001
486,보안등,37.5606190834,126.8085408823
487,보안등,37.5610628611,126.8080644968
488,보안등,37.5598468998,126.80852214629999
489,보안등,37.5597159433,126.8085519081
490,보안등,37.5595028889,126.80857112780001
491,보안등,37.559324433600004,126.8088689058
492,보안등,37.5587377513,126.8085636915
493,보안등,37.5590010919,126.80888478450001
494,보안등,37.5584862811,126.8088403755
495,보안등,37.5583972675,126.8088433192
496,보안등,37.5579987347,126.8090522435
497,보안등,37.5577917846,126.8092805964
498,보안등,37.5577815246,126.8093992318
499,보안등,37.5581117045,126.8093216566
500,보안등,37.558311047,126.80912478559999
501,보안등,37.5583887978,126.80934460459999
502,보안등,37.558473177399996,126.80954086620001
503,보안등,37.5585324219,126.8092921768
504,보안등,37.558850823600004,126.80928581959999
505,보안등,37.5589191216,126.80889733030001
506,보안등,37.5591206367,126.8090968025
